date,price,service,address
2018-10-30,2.59,Valero,"7380 Cantrell Rd, Little Rock, AR"
2018-10-30,2.59,Shell,"5801 R St , Little Rock, AR"
2018-10-30,2.59,Exxon,"7600 Cantrell Rd, Little Rock, AR"
2018-10-30,2.69,Park Plaza Superstore,"6317 W Markham St, Little Rock, AR"
2018-10-30,2.54,Exxon," 101 N Van Buren St, Little Rock, AR"
2018-10-30,2.59,Shell,"3723 Cantrell Rd, Little Rock, AR"
2018-10-30,2.54,Valero,"925 Fair Park Blvd, Little Rock, AR"
2018-10-30,2.56,Shell,"1200 S University Ave, Little Rock, AR"
2018-10-30,2.59,Valero,"7200 W 12th St, Little Rock, AR"
2018-10-30,2.54,Mapco,"5420 W 12th St, Little Rock, AR"
2018-10-30,2.44,Shell,"9001 W Markham St, Little Rock, AR"
2018-10-30,2.64,Kroger,"9222 N Rodney Parham Rd, Little Rock, AR"
2018-10-30,2.64,Superstop,"9718 N Rodney Parham Rd, Little Rock, AR"
2018-10-30,2.65,Shell,"10100 Rodney Parham, Little Rock, AR"
2018-10-30,2.64,Conoco,"10200 N Rodney Parham Rd, LittleRock, AR"
2018-10-30,2.52,E-Z Mart,"2711 W Markham St, Little Rock, AR"
2018-10-30,2.69,Shell,"4601 North Hills Blvd, North Little Rock, AR"
2018-10-30,2.64,Kroger,"6929 John F Kennedy Blvd , North Little Rock, AR"
2018-10-30,2.64,Shell,"6915 JFK Blvd, North Little Rock, AR"
2018-10-30,2.44,Mapco,"3401 JFK Blvd, North Little Rock, AR"
2018-10-30,2.59,Exxon,"3320 John F Kennedy Blvd , North Little Rock, AR"
2018-10-30,2.46,Shell,"3100 JFK Blvd, North Little Rock, AR"
2018-10-30,2.64,Valero,"5075 Warden Rd, North Little Rock, AR"
2018-10-30,2.5,Shell,"4400 E McCain Blvd, North Little Rock, AR"
2018-10-30,2.48,Murphy USA,"4450 E McCain Blvd, North Little Rock, AR"
2018-10-30,2.43,Murphy Express,"111 W Pershing Blvd, North Little Rock, AR"
2018-10-30,2.51,Mapco,"3300 Springhill Dr, North Little Rock, AR"
2018-10-30,2.43,Exxon,"2623 Main St, North Little Rock, AR"
2018-10-30,2.59,Kum & Go,"3220 Springhill Dr, North Little Rock, AR"
2018-10-30,2.44,Sam's Club,"5600 Landers Rd, Sherwood, AR"
2018-10-30,2.59,Exxon,"7600 Cantrell Rd, Little Rock, AR"
2018-10-30,2.65,Shell,"10100 Rodney Parham, Little Rock, AR"
2018-10-30,2.64,Superstop,"9718 N Rodney Parham Rd, Little Rock, AR"
2018-10-30,2.59,Shell,"7400 Cantrell Rd, Little Rock, AR"
2018-10-30,2.64,Kroger,"9222 N Rodney Parham Rd, Little Rock, AR"
2018-10-30,2.59,Valero,"7380 Cantrell Rd, Little Rock, AR"
2018-10-30,2.59,Exxon,"10705 N Rodney Parham Rd, Arkansas, AR"
2018-10-30,2.44,Shell,"9001 W Markham St, Little Rock, AR"
2018-10-30,2.41,Exxon,"10724 W Markham St, Little Rock, AR"
2018-10-30,2.49,Shell,"11724 Rainwood Rd, Little Rock, AR"
2018-10-30,2.59,Shell,"11401 Cantrell Rd, Little Rock, AR"
2018-10-30,2.43,Shell,"11911 Mara Lynn Rd, Little Rock, AR"
2018-10-30,2.59,Shell,"5801 R St , Little Rock, AR"
2018-10-30,2.69,Park Plaza Superstore,"6317 W Markham St, Little Rock, AR"
2018-10-30,2.53,Exxon,"1324 John Barrow Rd  , Little Rock, AR"
2018-10-30,2.39,E-Z Mart,"11701 W Markham St, Little Rock, AR"
2018-10-30,2.54,Superstop,"1400 John Barrow Rd, Little Rock, AR"
2018-10-30,2.59,Valero,"7200 W 12th St, Little Rock, AR"
2018-10-30,2.56,Shell,"1200 S University Ave, Little Rock, AR"
2018-10-30,2.69,Park Plaza Superstore,"6317 W Markham St, Little Rock, AR"
2018-10-30,2.54,Valero,"925 Fair Park Blvd, Little Rock, AR"
2018-10-30,2.54,Mapco,"5420 W 12th St, Little Rock, AR"
2018-10-30,2.54,Exxon," 101 N Van Buren St, Little Rock, AR"
2018-10-30,2.54,Superstop,"1400 John Barrow Rd, Little Rock, AR"
2018-10-30,2.53,Exxon,"1324 John Barrow Rd  , Little Rock, AR"
2018-10-30,2.59,Shell,"5801 R St , Little Rock, AR"
2018-10-30,2.44,Shell,"9001 W Markham St, Little Rock, AR"
2018-10-30,2.59,Valero,"7380 Cantrell Rd, Little Rock, AR"
2018-10-30,2.59,Shell,"7400 Cantrell Rd, Little Rock, AR"
2018-10-30,2.59,Exxon,"7600 Cantrell Rd, Little Rock, AR"
