date,price,service,address
2018-10-30,2.83,Valero,"6701 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.87,Fry's,"6601 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"5880 W Camelback Rd, Glendale, AZ"
2018-10-30,2.85,ARCO,"7502 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.89,QuikTrip,"3855 N 75th Ave, Phoenix, AZ"
2018-10-30,2.85,ARCO,"6702 W Thomas Rd, Phoenix, AZ"
2018-10-30,2.91,Circle K,"6649 W Thomas Rd , Phoenix, AZ"
2018-10-30,2.96,Mobil,"5402 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"5907 W Bethany Home Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"2840 N 75th Ave, Phoenix, AZ"
2018-10-30,2.83,ARCO,"5105 W Camelback Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"4849 N 83rd Ave, Phoenix, AZ"
2018-10-30,2.9,Circle K,"8249 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.91,Safeway,"4811 N 83rd Ave, Phoenix, AZ"
2018-10-30,2.89,Mobil,"8316 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.87,QuikTrip,"6702 W McDowell Rd , Phoenix, AZ"
2018-10-30,2.87,Circle K,"5105 W McDowell Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"5845 W McDowell Rd, Phoenix, AZ"
2018-10-30,2.99,Chevron,"5035 W McDowell Rd, Phoenix, AZ"
2018-10-30,2.96,Mobil,"5402 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.83,QuikTrip,"1155 N 51st Ave, Phoenix, AZ"
2018-10-30,2.83,Shell,"1042 N 51st Ave, Phoenix, AZ"
2018-10-30,2.91,Circle K,"6649 W Thomas Rd , Phoenix, AZ"
2018-10-30,2.85,ARCO,"6702 W Thomas Rd, Phoenix, AZ"
2018-10-30,2.87,Circle K,"1601 N 67th Ave, Phoenix, AZ"
2018-10-30,2.89,Circle K,"4259 W McDowell Rd, Phoenix, AZ"
2018-10-30,2.87,Mobil,"6653 W McDowell Rd, Phoenix, AZ"
2018-10-30,2.89,Fry's,"4230 W McDowell Rd, Phoenix, AZ"
2018-10-30,2.87,QuikTrip,"6702 W McDowell Rd , Phoenix, AZ"
2018-10-30,2.87,Fry's,"6601 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.89,QuikTrip,"4275 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.84,Circle K,"4502 N 19th Ave, Phoenix, AZ"
2018-10-30,2.83,Circle K,"3404 N 19th Ave, Phoenix, AZ"
2018-10-30,2.84,Circle K,"1502 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.79,Valero,"2649 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.89,QuikTrip,"2535 W Camelback Rd, Phoenix, AZ"
2018-10-30,2.79,Shell,"4102 N 27th Ave, Phoenix, AZ"
2018-10-30,2.86,QuikTrip,"321 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"2650 W Camelback Rd, Phoenix, AZ"
2018-10-30,2.89,Chevron,"2427 W Thomas Rd, Phoenix, AZ"
2018-10-30,2.78,Costco,"1646 W Montebello Ave, Phoenix, AZ"
2018-10-30,2.94,Chevron,"223 E Indian School Rd, Phoenix, AZ"
2018-10-30,2.89,Chevron,"1901 W Bethany Home Rd, Phoenix, AZ"
2018-10-30,2.86,Circle K,"5141 N Central Ave, Phoenix, AZ"
2018-10-30,2.77,Costco,"3801 N 33rd Ave, Phoenix, AZ"
2018-10-30,2.85,ARCO,"2341 W Bethany Home Rd, Phoenix, AZ"
2018-10-30,2.75,Pride,"2440 W Bethany Home Rd, Phoenix, AZ"
2018-10-30,2.83,ARCO,"5105 W Camelback Rd, Phoenix, AZ"
2018-10-30,2.96,Mobil,"5402 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"5880 W Camelback Rd, Glendale, AZ"
2018-10-30,2.89,QuikTrip,"4275 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.85,QuikTrip,"5082 NW Grand Ave, Glendale, AZ"
2018-10-30,2.89,Circle K,"5907 W Bethany Home Rd, Phoenix, AZ"
2018-10-30,2.77,One Stop Market,"6702 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.87,Fry's,"6601 W Indian School Rd, Phoenix, AZ"
2018-10-30,2.83,Valero,"6701 W Indian School Rd, Phoenix, AZ"
2018-10-30,3.19,Shell,"5835 N 27th Ave, Phoenix, AZ"
2018-10-30,2.89,Valero,"6000 N Black Canyon Hwy, Phoenix, AZ"
2018-10-30,2.75,Pride,"2440 W Bethany Home Rd, Phoenix, AZ"
2018-10-30,2.85,ARCO,"2341 W Bethany Home Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"2650 W Camelback Rd, Phoenix, AZ"
2018-10-30,2.89,QuikTrip,"2535 W Camelback Rd, Phoenix, AZ"
2018-10-30,2.89,Circle K,"2702 W Glendale Ave, Phoenix, AZ"
2018-10-30,2.89,Circle K,"2515 W Glendale Ave, Phoenix, AZ"
2018-10-30,2.89,Circle K,"4303 W Glendale Ave, Glendale, AZ"
