date,price,service,address
2018-10-30,3.35,Shell,"350 W Chicago Ave, Chicago, IL"
2018-10-30,3.37,BP,"631 N LaSalle St, Chicago, IL"
2018-10-30,3.59,Shell,"130 W North Ave, Chicago, IL"
2018-10-30,3.69,Fulton DesPlaines Garage,"225 N DesPlaines St, Chicago, IL"
2018-10-30,3.59,BP,"1647 N LaSalle Blvd, Chicago, IL"
2018-10-30,3.59,Mobil,"1234 N Halsted St, Chicago, IL"
2018-10-30,3.39,BP,"50 W Congress Pkwy, Chicago, IL"
2018-10-30,3.31,Shell,"1001 W Jackson Blvd, Chicago, IL"
2018-10-30,3.89,Marathon,"335 N Ogden Ave, Chicago, IL"
2018-10-30,3.59,BP,"1334 W Division St, Chicago, IL"
2018-10-30,3.59,Shell,"1400 W Division St, Chicago, IL"
2018-10-30,3.79,Marathon,"1121 S Jefferson St, Chicago, IL"
2018-10-30,3.69,BP,"1004 S Desplaines St, Chicago, IL"
2018-10-30,3.59,Shell,"505 N Ashland Ave, Chicago, IL"
2018-10-30,3.57,CITGO,"1535 W Grand Ave, Chicago, IL"
2018-10-30,3.59,BP,"1600 N Elston Ave, Chicago, IL"
2018-10-30,3.29,Shell,"6401 N Ridge Blvd, Chicago, IL"
2018-10-30,2.94,CITGO,"1500 W Devon Ave, Chicago, IL"
2018-10-30,3.29,Shell,"6346 N Clark St, Chicago, IL"
2018-10-30,3.15,Shell,"5701 N Broadway St, Chicago, IL"
2018-10-30,3.29,BP,"1841 W Devon Ave, Chicago, IL"
2018-10-30,3.16,CITGO,"1840 W Peterson Ave , Chicago, IL"
2018-10-30,3.19,BP,"5156 N Broadway St, Chicago, IL"
2018-10-30,3.19,Shell,"6000 N Western Ave, Chicago, IL"
2018-10-30,3.15,Mobil,"2500 W Peterson Ave, Chicago, IL"
2018-10-30,2.94,National Car Wash,"4900 N Broadway St, Chicago, IL"
2018-10-30,3.39,Mobil,"1530 W Lawrence Ave, Chicago, IL"
2018-10-30,3.39,Shell,"4800 N Ashland Ave, Chicago, IL"
2018-10-30,3.23,CITGO,"5300 N Western Ave, Chicago, IL"
2018-10-30,3.09,7-Eleven,"6801 N Western Ave, Chicago, IL"
2018-10-30,2.94,Shell,"7138 N Sheridan Rd, Chicago, IL"
2018-10-30,3.29,Shell,"5201 N Western Ave, Chicago, IL"
2018-10-30,3.29,Marathon,"5601 N Lincoln Ave, Chicago, IL"
2018-10-30,3.29,Mobil,"7201 N Clark St, Chicago, IL"
2018-10-30,3.59,Shell,"130 W North Ave, Chicago, IL"
2018-10-30,3.35,Shell,"350 W Chicago Ave, Chicago, IL"
2018-10-30,3.59,Mobil,"1234 N Halsted St, Chicago, IL"
2018-10-30,3.59,BP,"1647 N LaSalle Blvd, Chicago, IL"
2018-10-30,3.37,BP,"631 N LaSalle St, Chicago, IL"
2018-10-30,3.69,Fulton DesPlaines Garage,"225 N DesPlaines St, Chicago, IL"
2018-10-30,3.59,BP,"1334 W Division St, Chicago, IL"
2018-10-30,3.59,Shell,"1400 W Division St, Chicago, IL"
2018-10-30,3.59,BP,"1600 N Elston Ave, Chicago, IL"
2018-10-30,3.89,Marathon,"335 N Ogden Ave, Chicago, IL"
