date,price,service,address
2018-10-30,2.89,Speedway,"2700 N Walnut St, Bloomington, IN"
2018-10-30,2.72,Speedway,"3585 W IN-46, Bloomington, IN"
2018-10-30,2.89,Marathon,"1705 N Kinser Pike, Bloomington, IN"
2018-10-30,2.89,CITGO,"2110 N Walnut St, Bloomington, IN"
2018-10-30,2.72,CITGO,"4200 W IN-46, Bloomington, IN"
2018-10-30,2.88,Mobil,"201 W 17th St, Bloomington, IN"
2018-10-30,2.72,Circle K,"4724 W IN-46, Bloomington, IN"
2018-10-30,2.88,Lakeside Market,"6050 E IN-45, Bloomington, IN"
2018-10-30,2.89,Marathon,"601 E 10th St, Bloomington, IN"
2018-10-30,2.79,Mobil,"503 W Kirkwood Ave, Bloomington, IN"
2018-10-30,2.88,Mobil,"527 E 3rd St, Bloomington, IN"
2018-10-30,2.75,Marathon,"1307 W 3rd St, Bloomington, IN"
2018-10-30,2.77,Mobil,"2200 W 3rd St, Bloomington, IN"
2018-10-30,2.88,Sunoco,"901 N Smith Rd, Bloomington, IN"
2018-10-30,2.88,Shell,"2658 E 3rd St , Bloomington, IN"
2018-10-30,2.71,Shell,"504 W Temperance St, Ellettsville, IN"
2018-10-30,2.67,CountryMark,"1305 W Bloomfield Rd, Bloomington, IN"
2018-10-30,2.88,Speedway,"3021 E 3rd St, Bloomington, IN"
2018-10-30,2.88,Mobil,"527 E 3rd St, Bloomington, IN"
2018-10-30,2.79,Mobil,"503 W Kirkwood Ave, Bloomington, IN"
2018-10-30,2.88,Shell,"2658 E 3rd St , Bloomington, IN"
2018-10-30,2.88,Mobil,"201 W 17th St, Bloomington, IN"
2018-10-30,2.88,CITGO,"530 S College Mall Rd, Bloomington, IN"
2018-10-30,2.79,Mobil,"1115 S Walnut St, Bloomington, IN"
2018-10-30,2.88,Speedway,"3021 E 3rd St, Bloomington, IN"
2018-10-30,2.88,Kroger,"1175 S College Mall Rd, Bloomington, IN"
2018-10-30,2.79,Sunoco,"1602 S Walnut St, Bloomington, IN"
2018-10-30,2.89,CITGO,"2110 N Walnut St, Bloomington, IN"
2018-10-30,2.89,Marathon,"1705 N Kinser Pike, Bloomington, IN"
2018-10-30,2.75,Marathon,"1307 W 3rd St, Bloomington, IN"
2018-10-30,2.79,Conoco,"2002 S Rogers St, Bloomington, IN"
2018-10-30,2.67,CountryMark,"1305 W Bloomfield Rd, Bloomington, IN"
2018-10-30,2.89,Speedway,"2700 N Walnut St, Bloomington, IN"
2018-10-30,2.88,Sunoco,"901 N Smith Rd, Bloomington, IN"
2018-10-30,2.77,Village Pantry,"275 E Winslow Rd, Bloomington, IN"
2018-10-30,2.65,CITGO,"1560 W Bloomfield Rd, Bloomington, IN"
2018-10-30,2.79,Main St,"2001 Main St, Lafayette, IN"
2018-10-30,2.69,Marathon,"900 Ferry St, Lafayette, IN"
2018-10-30,2.69,Speedway,"1901 Elmwood Ave, Lafayette, IN"
2018-10-30,2.62,Mobil,"3112 Ferry St, Lafayette, IN"
2018-10-30,2.58,Marathon,"3116 South St , Lafayette, IN"
2018-10-30,2.64,Speedway,"265 E State St, West Lafayette, IN"
2018-10-30,2.56,Family Express,"323 Sagamore Pkwy N, Lafayette, IN"
2018-10-30,2.62,Speedway,"415 Sagamore Pkwy N, Lafayette, IN"
2018-10-30,2.6,Pay Less,"2250 Greenbush St, Lafayette, IN"
2018-10-30,2.61,Marathon,"1103 Teal Rd, Lafayette, IN"
2018-10-30,2.6,BP,"2210 Teal Rd, Lafayette, IN"
2018-10-30,2.72,Shell,"2700 Greenbush St, Lafayette, IN"
2018-10-30,2.73,GoLo,"2510 Teal Rd, Lafayette, IN"
2018-10-30,2.6,Super Test,"1601 Sagamore Pkwy S, Lafayette, IN"
2018-10-30,2.79,Speedway,"3011 Teal Rd, Lafayette, IN"
2018-10-30,2.69,Marathon,"2450 Sagamore Pkwy N, Lafayette, IN"
2018-10-30,2.61,Speedway,"2705 Old US-231 S, Lafayette, IN"
2018-10-30,2.64,Mobil,"706 Northwestern Ave, West Lafayette, IN"
2018-10-30,2.57,Marathon,"448 N Sherman Dr, Indianapolis, IN"
2018-10-30,2.59,Shell,"3801 E New York St, Indianapolis, IN"
2018-10-30,2.59,Marathon,"1001 N Rural St, Indianapolis, IN"
2018-10-30,2.55,Speedway,"3005 E 10th St, Indianapolis, IN"
2018-10-30,2.55,Clark,"2103 E 10th St, Indianapolis, IN"
2018-10-30,2.59,Village Pantry,"4023 E 10th St, Indianapolis, IN"
2018-10-30,2.59,Phillips 66,"2040 E Washington St, Indianapolis, IN"
2018-10-30,2.59,Marathon,"1845 E Michigan St, Indianapolis, IN"
2018-10-30,2.59,Kroger,"4445 E 10th St, Indianapolis, IN"
