date,price,service,address
2018-10-30,2.69,Shell,"1131 Bluemont Ave, Manhattan, KS"
2018-10-30,2.71,Kwik Shop,"1337 Anderson Ave, Manhattan, KS"
2018-10-30,2.71,Conoco,"2233 Tuttle Creek Blvd, Manhattan, KS"
2018-10-30,2.71,Cenex,"2323 Tuttle Creek Blvd, Manhattan, KS"
2018-10-30,2.68,Hy-Vee,"206 Leavenworth St, Manhattan, KS"
2018-10-30,2.68,Dillons,"130 Sarber Ln, Manhattan, KS"
2018-10-30,2.71,Shell,"410 Fort Riley Blvd, Manhattan, KS"
2018-10-30,2.71,Dillons,"2925 Claflin Rd, Manhattan, KS"
2018-10-30,2.71,Shell,"529 Richards Dr, Manhattan, KS"
2018-10-30,2.71,Shop Quik,"3108 Anderson Ave, Manhattan, KS"
2018-10-30,2.71,Cenex,"3270 Kimball Ave, Manhattan, KS"
2018-10-30,2.68,Cenex,"1132 Pillsbury Dr, Manhattan, KS"
2018-10-30,2.71,Cenex,"8811 E US-24, Manhattan, KS"
2018-10-30,2.46,US Gas,"801 S Oliver St, Wichita, KS"
2018-10-30,2.48,Dillons,"5500 E Harry St, Wichita, KS"
2018-10-30,2.48,Kwik Shop,"514 S Oliver St, Wichita, KS"
2018-10-30,2.49,QuikTrip,"625 S Hillside, Wichita, KS"
2018-10-30,2.48,QuikTrip,"3106 E Pawnee St, Wichita, KS"
2018-10-30,2.59,D&T,"895 S Woodlawn St, Wichita, KS"
2018-10-30,2.49,Kwik Shop,"2809 E Douglas Ave, Wichita, KS"
2018-10-30,2.49,B-D Convenience,"1601 S Hydraulic Ave, Wichita, KS"
2018-10-30,2.49,QuikTrip,"1607 E Lincoln St, Wichita, KS"
2018-10-30,2.48,Kwik Shop,"2750 S Oliver St, Wichita, KS"
2018-10-30,2.49,Valero,"7101 E Lincoln , Wichita, KS"
2018-10-30,2.49,QuikTrip,"4730 E Central, Wichita, KS"
2018-10-30,2.47,Midway Oil,"1201 E Lincoln St, Wichita, KS"
2018-10-30,2.57,Got Gas?,"353 S Armour St, Wichita, KS"
2018-10-30,2.49,Conoco,"1955 S Washington Ave, Wichita, KS"
2018-10-30,2.46,Phillips 66,"515 N Seneca St, Wichita, KS"
2018-10-30,2.53,Super Express,"2891 W 13th St N, Wichita, KS"
2018-10-30,2.47,Petro America,"2838 W Central Ave, Wichita, KS"
2018-10-30,2.52,Food Mart,"1400 N Market St, Wichita, KS"
2018-10-30,2.69,KC Gas & Groc,"1161 N Broadway St, Wichita, KS"
2018-10-30,2.49,QuikTrip,"730 N Broadway St, Wichita, KS"
2018-10-30,2.49,Dillons,"1910 W 21st St N, Wichita, KS"
2018-10-30,2.48,QuikTrip,"1112 W Douglas Ave, Wichita, KS"
2018-10-30,2.49,QuikTrip,"626 W 21st St N, Wichita, KS"
2018-10-30,2.48,1 STOP,"802 N West St, Wichita, KS"
2018-10-30,2.48,QuikTrip,"3933 W 13th St N, Wichita, KS"
2018-10-30,2.49,Dillons,"3932 W 13th St N, Wichita, KS"
2018-10-30,2.48,Dillons,"640 N West St, Wichita, KS"
2018-10-30,2.49,Petro America,"2700 N Amidon St, Wichita, KS"
2018-10-30,2.44,Jump Start,"3805 W 21st St N, Wichita, KS"
2018-10-30,2.45,Midway Oil,"3448 W Douglas Ave, Wichita, KS"
2018-10-30,2.47,Phillips 66,"1003 S Seneca St, Wichita, KS"
2018-10-30,2.46,PP-Station,"2601 N Broadway St, Wichita, KS"
2018-10-30,2.71,Minit Mart,"7475 W 95th St, Overland Park, KS"
2018-10-30,2.67,7-Eleven,"8700 W 95th St, Overland Park, KS"
2018-10-30,2.64,Hy-Vee,"9545 Antioch Rd, Overland Park, KS"
2018-10-30,2.69,Minit Mart,"8401 W 95th St, Overland Park, KS"
2018-10-30,2.64,Minit Mart,"9110 Santa Fe Dr, Overland Park, KS"
2018-10-30,2.66,QuikTrip,"9901 W 87th St, Overland Park, KS"
2018-10-30,2.69,Shell,"10075 W 103rd St, Overland Park, KS"
2018-10-30,2.69,BP,"10700 W 87th St, Overland Park, KS"
2018-10-30,2.72,Riley's Full Service,"10640 Metcalf Ave, Overland Park, KS"
2018-10-30,2.69,Shell,"9640 Nall Ave, Overland Park, KS"
2018-10-30,2.69,Conoco,"10701 Metcalf Ave, Overland Park, KS"
2018-10-30,2.7,VP Racing Fuels,"8770 Nieman Rd, Overland Park, KS"
2018-10-30,2.59,BP,"8698 College Blvd, Overland Park, KS"
2018-10-30,2.64,QuikTrip,"7701 Metcalf Ave, Overland Park, KS"
2018-10-30,2.61,Minit Mart,"8633 Quivira Rd, Lenexa, KS"
2018-10-30,2.56,Sam's Club,"12200 W 95th St, Lenexa, KS"
2018-10-30,2.67,Fuel Trip,"8500 Quivira Rd, Lenexa, KS"
2018-10-30,2.64,Phillips 66,"7427 Metcalf Ave, Overland Park, KS"
2018-10-30,2.56,Costco,"9350 Marshall Dr, Lenexa, KS"
2018-10-30,2.65,BP,"900 N 5th St, Kansas City - KS, KS"
2018-10-30,2.59,Conoco,"954 State Ave, Kansas City - KS, KS"
2018-10-30,2.68,Phillips 66,"2701 Fairfax Trwy, Kansas City - KS, KS"
2018-10-30,2.49,Valero,"308 N 18th St, Kansas City - KS, KS"
2018-10-30,2.58,Quick Shop,"1313 Quindaro Blvd , Kansas City - KS, KS"
2018-10-30,2.59,Millenium,"1603 W 12th St, Kansas City, MO"
2018-10-30,2.59,Phillips 66,"1509 W 12th St, Kansas City, MO"
2018-10-30,2.59,Conoco,"1620 W 14th St, Kansas City, MO"
2018-10-30,2.43,7-Eleven,"2500 Central Ave, Kansas City - KS, KS"
2018-10-30,2.49,Sinclair,"311 S 18th St, Kansas City - KS, KS"
2018-10-30,2.49,Cenex,"164 S 18th St, Kansas City - KS, KS"
2018-10-30,2.43,Phillips 66,"2859 State Ave, Kansas City - KS, KS"
2018-10-30,2.49,Conoco,"1955 S Washington Ave, Wichita, KS"
2018-10-30,2.47,Midway Oil,"1201 E Lincoln St, Wichita, KS"
