date,price,service,address
2018-10-30,2.49,BP,"396 S Jefferson Ave, St Louis, MO"
2018-10-30,2.49,Shell,"35 S Grand Blvd, St Louis, MO"
2018-10-30,2.48,QuikTrip,"2600 Choteau Ave, St Louis, MO"
2018-10-30,2.49,Mobil,"2601 Delmar Blvd, St Louis, MO"
2018-10-30,2.48,QuikTrip,"904 S Vandeventer Ave, St Louis, MO"
2018-10-30,2.48,Phillips 66,"733 S Vandeventer Ave, St Louis, MO"
2018-10-30,2.49,BP,"1551 S Grand Blvd, St Louis, MO"
2018-10-30,2.48,ZX,"2110 Chouteau Ave, St Louis, MO"
2018-10-30,2.48,Phillips 66,"1655 S Jefferson Ave, St Louis, MO"
2018-10-30,2.54,BP,"4403 Laclede Ave, St Louis, MO"
2018-10-30,2.53,BP,"1401 Chouteau Ave, St Louis, MO"
2018-10-30,2.59,Shell,"721 N Tucker Blvd, St Louis, MO"
2018-10-30,2.53,Conoco,"2333 S Jefferson Ave, St Louis, MO"
2018-10-30,2.49,Midwest Petroleum,"2821 N Vandeventer Ave, St Louis, MO"
2018-10-30,2.52,Phillips 66,"2327 Gravois Ave, St Louis, MO"
2018-10-30,2.48,Conoco,"1314 Gravois Ave, St Louis, MO"
2018-10-30,2.59,Shell,"1815 Arsenal St, St Louis, MO"
2018-10-30,2.49,Phillips 66,"3237 S Grand Blvd, St Louis, MO"
2018-10-30,2.48,QuikTrip,"2851 Gravois Ave, St Louis, MO"
2018-10-30,2.52,Motomart,"3751 S Jefferson Ave, St Louis, MO"
2018-10-30,2.52,Phillips 66,"2327 Gravois Ave, St Louis, MO"
2018-10-30,2.53,Conoco,"2333 S Jefferson Ave, St Louis, MO"
2018-10-30,2.49,BP,"3182 S Grand Blvd, St Louis, MO"
2018-10-30,2.55,Phillips 66,"3518 S Grand Blvd, St Louis, MO"
2018-10-30,2.48,Conoco,"1314 Gravois Ave, St Louis, MO"
2018-10-30,2.48,Phillips 66,"1655 S Jefferson Ave, St Louis, MO"
2018-10-30,2.5,Speedie,"4206 S Grand Blvd, St Louis, MO"
2018-10-30,2.54,Conoco,"4355 S Broadway, St Louis, MO"
2018-10-30,2.54,Phillips 66,"4347 S Broadway, St Louis, MO"
2018-10-30,2.52,BP,"701 Russell Blvd, St Louis, MO"
2018-10-30,2.52,Phillips 66,"710 Russell Blvd, St Louis, MO"
2018-10-30,2.59,Phillips 66,"4553 S Broadway, St Louis, MO"
2018-10-30,2.53,QuikTrip,"4101 Gravois Rd, St Louis, MO"
