date,price,service,address
2018-10-30,2.49,Exxon,"970 N State St, Jackson, MS"
2018-10-30,2.49,Exxon,"225 W Woodrow Wilson Ave, Jackson, MS"
2018-10-30,2.59,Fast Lane,"1302 N State St, Jackson, MS"
2018-10-30,2.59,Shell,"855 E Fortification St, Jackson, MS"
2018-10-30,2.49,Shell,"602 S State St, Jackson, MS"
2018-10-30,2.45,Exxon,"1635 University Blvd, Jackson, MS"
2018-10-30,2.39,Ellis Ave Food Mart,"1208 Ellis Ave, Jackson, MS"
2018-10-30,2.49,Shell,"4301 N State St, Jackson, MS"
2018-10-30,2.43,S L Quick Food Mart,"472 Bounds St, Jackson, MS"
2018-10-30,2.49,Exxon,"4611 I-55 N, Jackson, MS"
2018-10-30,2.49,Marathon,"4990 I-55 N, Jackson, MS"
2018-10-30,2.45,Double Down Discount,"2018 Pass Rd, Biloxi, MS"
2018-10-30,2.33,Exxon,"2392 Pass Rd, Biloxi, MS"
2018-10-30,2.42,Chevron,"2351 Pass Rd, Biloxi, MS"
2018-10-30,2.36,Circle K,"2194 Beach Blvd, Biloxi, MS"
2018-10-30,2.36,Swifty,"1801 Pass Rd, Biloxi, MS"
2018-10-30,2.31,Shell,"1833 W Beach Blvd, Biloxi, MS"
2018-10-30,2.32,Shell,"1699 Pass Rd, Biloxi, MS"
2018-10-30,2.31,Murphy Express,"190 Eisenhower Dr, Biloxi, MS"
2018-10-30,2.32,Shell,"2799 Pass Rd, Biloxi, MS"
2018-10-30,2.39,Texaco,"2354 E Pass Rd, Gulfport, MS"
2018-10-30,2.48,Polks Drugs,"1845 Popps Ferry Rd, Biloxi, MS"
2018-10-30,2.55,CITGO,"2090 E Pass Rd, Gulfport, MS"
2018-10-30,2.38,Walmart,"1824 Popps Ferry Rd, Biloxi, MS"
2018-10-30,2.41,Marathon,"1757 Popps Ferry Rd, Biloxi, MS"
2018-10-30,2.32,AAFES,"405 Meadows Dr, Biloxi, MS"
2018-10-30,2.38,Chevron,"1925 E Pass Rd, Gulfport, MS"
2018-10-30,2.31,Walmart,"1733 E Pass Rd, Gulfport, MS"
2018-10-30,2.42,Exxon,"1000 Cedar Lake Rd, Biloxi, MS"
2018-10-30,2.32,Murphy USA,"1733 E Pass Rd, Gulfport, MS"
2018-10-30,2.59,Fast Lane,"1302 N State St, Jackson, MS"
2018-10-30,2.49,Exxon,"970 N State St, Jackson, MS"
2018-10-30,2.59,Shell,"855 E Fortification St, Jackson, MS"
2018-10-30,2.49,Exxon,"225 W Woodrow Wilson Ave, Jackson, MS"
2018-10-30,2.55,Shell,"1403 Lakeland Dr, Jackson, MS"
2018-10-30,2.56,Circle K,"1264 High St, Jackson, MS"
