date,price,service,address
2018-10-30,2.65,CITGO,"5216 Germanton Rd, Winston-Salem, NC"
2018-10-30,2.63,CITGO,"4838 Old Rural Hall Rd, Winston-Salem, NC"
2018-10-30,2.56,Valero,"4820 Old Rural Hall Rd, Winston-Salem, NC"
2018-10-30,2.38,Sam's Club,"284 Summit Square Blvd , Winston-Salem, NC"
2018-10-30,2.59,CITGO,"3990 Patterson Ave, Winston-Salem, NC"
2018-10-30,2.63,Shell,"5981 University Pkwy, Winston-Salem, NC"
2018-10-30,2.63,Sheetz,"5020 Raven Rd, Winston-Salem, NC"
2018-10-30,2.63,Valero,"6116 University Pkwy , Winston-Salem, NC"
2018-10-30,2.63,Speedway,"6205 University Pkwy, Winston-Salem, NC"
2018-10-30,2.41,Speedway,"5434 University Pkwy, Winston-Salem, NC"
2018-10-30,2.44,CITGO,"5000 University Pkwy, WinstonSalem, NC"
2018-10-30,2.59,Shell,"4116 Indiana Ave, Winston-Salem, NC"
2018-10-30,2.41,Mobil,"4965 University Pkwy, Winston-Salem, NC"
2018-10-30,2.63,CITGO,"3890 Glenn Ave, Winston-Salem, NC"
2018-10-30,2.61,Speedway,"653 Akron Dr, Winston-Salem, NC"
2018-10-30,2.63,US Mini Mart,"221 E Main St (US-70), Havelock, NC"
2018-10-30,2.69,Exxon,"101 Ketner Blvd, Havelock, NC"
2018-10-30,2.63,Speedway,"334 E Main St, Havelock, NC"
2018-10-30,2.68,Shell,"501 US-70 W, Havelock, NC"
2018-10-30,2.68,Murphy USA,"568 US-70 W, Havelock, NC"
2018-10-30,2.64,Shell,"1017 E Main St, Havelock, NC"
2018-10-30,2.63,BP,"1234 E Main St, Havelock, NC"
2018-10-30,2.74,Pure,"890 US-70 W, Havelock, NC"
2018-10-30,2.69,Fuel Market,"100 Carolina Pines Blvd, New Bern, NC"
2018-10-30,2.65,Skyline Superette,"1725 Statesville Ave, Charlotte, NC"
2018-10-30,2.79,Mobil,"1419 W Trade St, Charlotte, NC"
2018-10-30,2.67,Circle K,"935 Charlottetowne Ave, Charlotte, NC"
2018-10-30,2.69,Shell,"2700 N Tryon St, Charlotte, NC"
2018-10-30,2.65,CITGO,"2235 The Plaza, Charlotte, NC"
2018-10-30,2.61,7-Eleven,"1824 Freedom Dr, Charlotte, NC"
2018-10-30,2.59,Mobil,"1323 Lasalle St, Charlotte, NC"
2018-10-30,2.69,Gran Prix,"2832 N Tryon St, Charlotte, NC"
2018-10-30,2.71,Shell,"200 East Blvd, Charlotte, NC"
2018-10-30,2.59,Exxon,"1920 Central Ave, Charlotte, NC"
2018-10-30,2.71,Shell,"1246 East Blvd, Charlotte, NC"
2018-10-30,2.69,Shell,"527 Providence Rd, Charlotte, NC"
2018-10-30,2.59,Marathon,"2200 S Tryon St, Charlotte, NC"
2018-10-30,2.65,BP,"540 N Person St, Raleigh, NC"
2018-10-30,2.49,Shell,"122 W Peace St, Raleigh, NC"
2018-10-30,2.75,Exxon,"624 St Marys St, Raleigh, NC"
2018-10-30,2.51,Shell,"1637 S Saunders St , Raleigh, NC"
2018-10-30,2.46,Speedway,"850 Capital Blvd , Raleigh, NC"
2018-10-30,2.89,PM,"515 Ashe Ave, Raleigh, NC"
2018-10-30,2.43,Sam's Club,"2537 S Saunders St  , Raleigh, NC"
2018-10-30,2.46,Family Fare,"2570 S Wilmington St, Raleigh, NC"
2018-10-30,2.46,BP,"2506 S Saunders St , Raleigh, NC"
2018-10-30,2.49,Mobil,"2516 S Saunders St  , Raleigh, NC"
2018-10-30,2.69,Shell,"1524 Wake Forest Rd, Raleigh, NC"
2018-10-30,2.46,Speedway,"2604 S Saunders St , Raleigh, NC"
2018-10-30,2.59,Family Fare,"2120 New Bern Ave, Raleigh, NC"
2018-10-30,2.46,Speedway,"850 Capital Blvd , Raleigh, NC"
2018-10-30,2.49,Shell,"122 W Peace St, Raleigh, NC"
2018-10-30,2.89,PM,"515 Ashe Ave, Raleigh, NC"
2018-10-30,2.69,BP,"1634 Glenwood Ave, Raleigh, NC"
2018-10-30,2.69,Marathon,"1641 Glenwood Ave  , Raleigh, NC"
2018-10-30,2.65,BP,"540 N Person St, Raleigh, NC"
2018-10-30,2.89,Resco,"2709 Western Blvd, Raleigh, NC"
