date,price,service,address
2018-10-30,2.85,Loaf 'N Jug,"4250 University Ave, Grand Forks, ND"
2018-10-30,2.85,Valley Dairy,"1125 S 42nd St, Grand Forks, ND"
2018-10-30,2.85,Loaf 'N Jug,"4326 Gateway Dr, Grand Forks, ND"
2018-10-30,2.85,Sinclair,"604 S Washington St, Grand Forks, ND"
2018-10-30,2.85,Cenex,"803 S Washington St, Grand Forks, ND"
2018-10-30,2.85,Simonson,"310 Gateway Dr, Grand Forks, ND"
2018-10-30,2.85,Holiday,"2250 S Columbia Rd, Grand Forks, ND"
2018-10-30,2.85,Valley Dairy,"2401 S Columbia Rd, Grand Forks, ND"
2018-10-30,2.85,Cenex,"2002 S Washington St, Grand Forks, ND"
2018-10-30,2.59,PetroServe USA,"1340 34th St S, Fargo, ND"
2018-10-30,2.59,Little Dukes,"1401 33rd St S, Fargo, ND"
2018-10-30,2.59,Exxon,"3441 13th Ave S, Fargo, ND"
2018-10-30,2.59,Don's Car Wash,"2727 13th Ave S, Fargo, ND"
2018-10-30,2.7,Loaf 'N Jug,"2201 18th St S, Fargo, ND"
2018-10-30,2.65,Tesoro,"2903 Main Ave , Fargo, ND"
2018-10-30,2.65,Phillips Travel Centers,"2501 23rd Ave S, Fargo, ND"
2018-10-30,2.65,Casey's,"4301 13th Ave S, Fargo, ND"
2018-10-30,2.65,Simonson,"3810 W Main Ave, Fargo, ND"
2018-10-30,2.65,Cenex,"3902 Main Ave, Fargo, ND"
2018-10-30,2.65,Casey's,"204 42nd St SW, Fargo, ND"
2018-10-30,2.65,Cenex,"4350 13th Ave S, Fargo, ND"
2018-10-30,2.65,Casey's,"1401 S University Dr, Fargo, ND"
2018-10-30,2.65,M & H,"1602 Main Ave, Fargo, ND"
2018-10-30,2.67,Holiday,"1902 45th St S, Fargo, ND"
2018-10-30,2.67,Petro Travel Center,"4510 19th Ave SW, Fargo, ND"
2018-10-30,2.59,Flying J,"3150 39th St S, Fargo, ND"
2018-10-30,2.65,Holiday,"2755 Brandt Dr S, Fargo, ND"
2018-10-30,2.65,Casey's,"3202 43rd St S, Fargo, ND"
2018-10-30,2.67,Love's,"3220 39th St S, Fargo, ND"
2018-10-30,2.67,Holiday,"1902 45th St S, Fargo, ND"
2018-10-30,2.67,Petro Travel Center,"4510 19th Ave SW, Fargo, ND"
2018-10-30,2.67,Tesoro,"3202 33rd St S, Fargo, ND"
2018-10-30,2.59,Little Dukes,"1401 33rd St S, Fargo, ND"
2018-10-30,2.65,Phillips Travel Centers,"2501 23rd Ave S, Fargo, ND"
2018-10-30,2.65,Cenex,"4350 13th Ave S, Fargo, ND"
2018-10-30,2.65,Casey's,"4301 13th Ave S, Fargo, ND"
2018-10-30,2.55,Fleet Farm,"3730 36th St S, Fargo, ND"
2018-10-30,2.7,Loaf 'N Jug,"2201 18th St S, Fargo, ND"
2018-10-30,2.59,PetroServe USA,"1340 34th St S, Fargo, ND"
2018-10-30,2.65,Casey's,"5680 23rd Ave S, Fargo, ND"
2018-10-30,2.59,Exxon,"3441 13th Ave S, Fargo, ND"
2018-10-30,2.44,Costco,"750 23rd Ave E, West Fargo, ND"
2018-10-30,2.49,Sam's Club,"4831 13th Ave S, Fargo, ND"
2018-10-30,2.65,Cenex,"3902 Main Ave, Fargo, ND"
2018-10-30,2.65,Casey's,"204 42nd St SW, Fargo, ND"
2018-10-30,2.65,Cenex,"3820 12th Ave NW, Fargo, ND"
2018-10-30,2.65,Stamart,"3500 12th Ave N, Fargo, ND"
2018-10-30,2.65,Tesoro,"2903 Main Ave , Fargo, ND"
2018-10-30,2.67,Tesoro,"1902 7th Ave N , Fargo, ND"
2018-10-30,2.59,Exxon,"3441 13th Ave S, Fargo, ND"
2018-10-30,2.59,PetroServe USA,"1340 34th St S, Fargo, ND"
2018-10-30,2.65,M & H,"1602 Main Ave, Fargo, ND"
2018-10-30,2.59,Don's Car Wash,"2727 13th Ave S, Fargo, ND"
2018-10-30,2.65,Casey's,"4301 13th Ave S, Fargo, ND"
2018-10-30,2.59,Little Dukes,"1401 33rd St S, Fargo, ND"
2018-10-30,2.65,Cenex,"4350 13th Ave S, Fargo, ND"
2018-10-30,2.62,Shell,"734 University Dr N, Fargo, ND"
2018-10-30,2.7,Loaf 'N Jug,"1201 N University Dr, Fargo, ND"
2018-10-30,2.65,Holiday,"101 University Dr N, Fargo, ND"
2018-10-30,2.65,Casey's,"524 Sheyenne St, West Fargo, ND"
2018-10-30,2.65,Petro Serve USA,"1021 W Main Ave, West Fargo, ND"
2018-10-30,2.65,Casey's,"901 E Main Ave, West Fargo, ND"
2018-10-30,2.65,Exxon,"950 13th Ave E, West Fargo, ND"
2018-10-30,2.65,Holiday,"1210 13th Ave E, West Fargo, ND"
2018-10-30,2.49,Sam's Club,"4831 13th Ave S, Fargo, ND"
2018-10-30,2.67,Tesoro,"2125 Sheyenne St, West Fargo, ND"
2018-10-30,2.65,Cenex,"4350 13th Ave S, Fargo, ND"
2018-10-30,2.65,Casey's,"204 42nd St SW, Fargo, ND"
2018-10-30,2.44,Costco,"750 23rd Ave E, West Fargo, ND"
2018-10-30,2.65,Casey's,"4301 13th Ave S, Fargo, ND"
2018-10-30,2.65,Casey's,"5680 23rd Ave S, Fargo, ND"
2018-10-30,2.67,Petro Travel Center,"4510 19th Ave SW, Fargo, ND"
2018-10-30,2.65,Cenex,"3902 Main Ave, Fargo, ND"
2018-10-30,2.67,Holiday,"1902 45th St S, Fargo, ND"
2018-10-30,2.65,Simonson,"3810 W Main Ave, Fargo, ND"
2018-10-30,2.65,Cenex,"3820 12th Ave NW, Fargo, ND"
2018-10-30,2.85,Valley Dairy,"2401 S Columbia Rd, Grand Forks, ND"
2018-10-30,2.85,Holiday,"2250 S Columbia Rd, Grand Forks, ND"
2018-10-30,2.85,Cenex,"1970 32nd Ave S, Grand Forks, ND"
2018-10-30,2.85,Cenex,"2002 S Washington St, Grand Forks, ND"
2018-10-30,2.85,Holiday,"3450 32nd Ave S, Grand Forks, ND"
2018-10-30,2.85,Cenex,"3850 32nd Ave S, Grand Forks, ND"
2018-10-30,2.85,Cenex,"803 S Washington St, Grand Forks, ND"
2018-10-30,2.85,Valley Dairy,"1125 S 42nd St, Grand Forks, ND"
2018-10-30,2.85,Sinclair,"604 S Washington St, Grand Forks, ND"
2018-10-30,2.79,Flying J,"4401 32nd Ave S, Grand Forks, ND"
2018-10-30,2.85,Cenex,"4315 Demers Ave , Grand Forks, ND"
2018-10-30,2.85,Loaf 'N Jug,"4250 University Ave, Grand Forks, ND"
2018-10-31,2.85,Cenex,"4315 Demers Ave , Grand Forks, ND"
2018-10-31,2.79,Cenex,"3635 Gateway Dr, Grand Forks, ND"
2018-10-31,2.85,Loaf 'N Jug,"4326 Gateway Dr, Grand Forks, ND"
2018-10-31,2.79,Valley Dairy,"1220 University Ave, Grand Forks, ND"
2018-10-31,2.79,Sinclair,"604 S Washington St, Grand Forks, ND"
2018-10-31,2.79,Stamart,"1212 N 47th St, Grand Forks, ND"
2018-10-31,2.79,Cenex,"803 S Washington St, Grand Forks, ND"
2018-10-31,2.79,Simonson,"4720 Gateway Dr , Grand Forks, ND"
2018-10-31,2.79,Simonson,"1402 S Washington St, Grand Forks, ND"
2018-10-31,2.79,Valley Dairy,"2401 S Columbia Rd, Grand Forks, ND"
2018-10-31,2.85,Cenex,"2002 S Washington St, Grand Forks, ND"
2018-10-31,2.65,Holiday,"1510 32nd Ave S, Fargo, ND"
2018-10-31,2.7,Loaf 'N Jug,"2201 18th St S, Fargo, ND"
2018-10-31,2.65,Holiday,"3040 25th St S, Fargo, ND"
2018-10-31,2.65,Phillips Travel Centers,"2501 23rd Ave S, Fargo, ND"
2018-10-31,2.65,Casey's,"1401 S University Dr, Fargo, ND"
2018-10-31,2.65,Casey's,"3545 25th St S, Fargo, ND"
2018-10-31,2.67,Tesoro,"3202 33rd St S, Fargo, ND"
2018-10-31,2.69,Cenex,"2408 8th St S , Moorhead, MN"
2018-10-31,2.59,Don's Car Wash,"2727 13th Ave S, Fargo, ND"
2018-10-31,2.59,Little Dukes,"1401 33rd St S, Fargo, ND"
2018-10-31,2.59,Flying J,"3150 39th St S, Fargo, ND"
2018-10-31,2.59,Love's,"3220 39th St S, Fargo, ND"
2018-10-31,2.59,PetroServe USA,"1340 34th St S, Fargo, ND"
2018-10-31,2.55,Fleet Farm,"3730 36th St S, Fargo, ND"
2018-10-31,2.79,Exxon,"919 S Washington St, Bismarck, ND"
2018-10-31,2.79,Shell,"1020 S Washington St, Bismarck, ND"
2018-10-31,2.79,Simonson,"1011 E Main Ave, Bismarck, ND"
2018-10-31,2.79,Little Dukes,"1144 Bismarck Expy, Bismarck, ND"
2018-10-31,2.79,PetroServe USA,"1120 E Divide Ave, Bismarck, ND"
2018-10-31,2.79,Mobil,"1120 Tacoma Ave, Bismarck, ND"
2018-10-31,2.79,Shell,"2210 N 12th St, Bismarck, ND"
2018-10-31,2.79,Shell,"2205 Tyler Pkwy, Bismarck, ND"
2018-10-31,2.72,Loaf 'N Jug,"2600 E Rosser Ave, Bismarck, ND"
2018-10-31,2.79,Loaf 'N Jug,"2835 N Washington St, Bismarck, ND"
2018-10-31,2.59,Flying J,"3150 39th St S, Fargo, ND"
2018-10-31,2.65,Holiday,"2755 Brandt Dr S, Fargo, ND"
2018-10-31,2.65,Casey's,"3202 43rd St S, Fargo, ND"
2018-10-31,2.59,Love's,"3220 39th St S, Fargo, ND"
2018-10-31,2.65,Holiday,"1902 45th St S, Fargo, ND"
2018-10-31,2.65,Petro Travel Center,"4510 19th Ave SW, Fargo, ND"
2018-10-31,2.67,Tesoro,"3202 33rd St S, Fargo, ND"
2018-10-31,2.59,Little Dukes,"1401 33rd St S, Fargo, ND"
2018-10-31,2.65,Phillips Travel Centers,"2501 23rd Ave S, Fargo, ND"
2018-10-31,2.65,Cenex,"4350 13th Ave S, Fargo, ND"
2018-10-31,2.55,Fleet Farm,"3730 36th St S, Fargo, ND"
2018-10-31,2.7,Loaf 'N Jug,"2201 18th St S, Fargo, ND"
2018-10-31,2.59,PetroServe USA,"1340 34th St S, Fargo, ND"
2018-10-31,2.65,Casey's,"5680 23rd Ave S, Fargo, ND"
2018-10-31,2.65,Holiday,"3040 25th St S, Fargo, ND"
2018-10-31,2.59,Exxon,"3441 13th Ave S, Fargo, ND"
2018-10-31,2.44,Costco,"750 23rd Ave E, West Fargo, ND"
2018-10-31,2.67,Little Dukes,"755 33rd Ave E , Fargo, ND"
2018-10-31,2.67,Tesoro,"1902 7th Ave N , Fargo, ND"
2018-10-31,2.65,Casey's,"301 10th St N, Fargo, ND"
2018-10-31,2.65,M & H,"1602 Main Ave, Fargo, ND"
2018-10-31,2.65,Holiday,"101 University Dr N, Fargo, ND"
2018-10-31,2.62,Shell,"734 University Dr N, Fargo, ND"
2018-10-31,2.7,Loaf 'N Jug,"1201 N University Dr, Fargo, ND"
2018-10-31,2.69,M & H,"510 Main Ave, Moorhead, MN"
2018-10-31,2.65,Casey's,"1401 S University Dr, Fargo, ND"
2018-10-31,2.65,Tesoro,"2903 Main Ave , Fargo, ND"
2018-10-31,2.65,Tesoro,"2903 Main Ave , Fargo, ND"
2018-10-31,2.79,Northside Service,"1036 1st Ave N, Moorhead, MN"
2018-10-31,2.59,Don's Car Wash,"2727 13th Ave S, Fargo, ND"
2018-10-31,2.65,Casey's,"1901 University Dr N, Fargo, ND"
2018-10-31,2.65,Stamart,"3500 12th Ave N, Fargo, ND"
2018-10-31,2.65,Casey's,"524 Sheyenne St, West Fargo, ND"
