date,price,service,address
2018-10-30,2.65,Gas and Diesel,"1008 Tonnelle Ave, North Bergen, NJ"
2018-10-30,2.95,Exxon,"1836 Park Ave , Weehawken, NJ"
2018-10-30,2.57,Fuel Stop,"1023 Kennedy Blvd, North Bergen, NJ"
2018-10-30,2.59,Lukoil,"3205 Hudson Ave, Union City, NJ"
2018-10-30,2.67,Gulf,"2715 John F Kennedy Blvd, North Bergen, NJ"
2018-10-30,2.89,Sunoco,"1301 Willow Ave, Hoboken, NJ"
2018-10-30,2.69,Speedway,"612 John F Kennedy Blvd E, Weehawken, NJ"
2018-10-30,2.65,Speedway,"1401 Willow Ave, Hoboken, NJ"
2018-10-30,2.65,BP,"1400 Park Ave, Hoboken, NJ"
2018-10-30,2.57,Delta,"1200 John F Kennedy Blvd, Union City, NJ"
2018-10-30,2.69,BP,"2501 Tonnelle Ave, North Bergen, NJ"
2018-10-30,2.73,Speedway,"3900 John F Kennedy Blvd W, Union City, NJ"
2018-10-30,2.63,Fuel 4,"450 New York Ave, Jersey City, NJ"
2018-10-30,2.65,Delta,"823 Tonnele Ave, Jersey City, NJ"
2018-10-30,2.63,Gulf,"782 Tonnele Ave, Jersey City, NJ"
2018-10-30,2.75,BP,"3530 John F Kennedy Blvd, Jersey City, NJ"
2018-10-30,2.73,Gulf,"6031 Broadway, West New York, NJ"
2018-10-30,2.69,Lukoil,"6800 Kennedy Blvd W, West New York, NJ"
2018-10-30,2.77,Exxon,"979 John F Kennedy Blvd E, Weehawken, NJ"
2018-10-30,2.79,Exxon,"4521 Tonnelle Ave, North Bergen, NJ"
2018-10-30,2.65,Delta,"5100 Tonnelle Ave, North Bergen, NJ"
2018-10-30,2.69,76,"5500 John F Kennedy Blvd, West New York, NJ"
2018-10-30,2.73,Speedway,"3900 John F Kennedy Blvd W, Union City, NJ"
2018-10-30,2.65,Delta,"7319 Bergeline Ave, North Bergen, NJ"
2018-10-30,2.69,Gulf,"7400 Kennedy Blvd W, North Bergen, NJ"
2018-10-30,2.63,CITGO,"7416 Tonnelle Ave, North Bergen, NJ"
2018-10-30,2.75,Exxon,"7600 Kennedy Blvd, North Bergen, NJ"
2018-10-30,2.69,Ryders Stop,"7514 Tonnelle Ave, North Bergen, NJ"
2018-10-30,2.59,Lukoil,"3205 Hudson Ave, Union City, NJ"
2018-10-30,2.73,BP,"8012 Tonnelle Ave, North Bergen, NJ"
2018-10-30,2.69,Speedway,"612 John F Kennedy Blvd E, Weehawken, NJ"
2018-10-30,2.67,Gulf,"2715 John F Kennedy Blvd, North Bergen, NJ"
2018-10-30,2.77,BP,"2800 NJ-3 W, North Bergen, NJ"
2018-10-30,2.83,Speedway,"400 NJ-3 W, Secaucus, NJ"
