date,price,service,address
2018-10-30,3.52,Shell,"1135 Vine St, Philadelphia - Center City, PA"
2018-10-30,3.09,Gulf,"2201 Spring Garden St, Philadelphia - Center City, PA"
2018-10-30,2.95,Speedway,"615 S Broad St, Philadelphia, PA"
2018-10-30,2.99,Sunoco,"801 S Broad St, Philadelphia, PA"
2018-10-30,3.09,Gulf,"1101 Spring Garden St, Philadelphia - Center City, PA"
2018-10-30,3.07,Sunoco,"2300 Fairmount Ave, Philadelphia, PA"
2018-10-30,2.97,Sunoco,"1100 S 10th St, Philadelphia, PA"
2018-10-30,2.95,Lukoil,"1243 S Broad St, Philadelphia, PA"
2018-10-30,3.19,Conoco,"1840 Ridge Ave, Philadelphia, PA"
2018-10-30,3.01,Sunoco,"1300 N Broad St, Philadelphia, PA"
2018-10-30,3.04,Liberty,"959 N 8th St, Philadelphia, PA"
2018-10-30,2.91,Conoco,"3349 Grays Ferry Ave, Philadelphia, PA"
2018-10-30,2.89,Speedway,"3300-48 Grays Ferry Ave, Philadelphia, PA"
2018-10-30,3.89,Amera,"601 W Girard Ave, Philadelphia, PA"
2018-10-30,3.09,Gulf,"1101 Spring Garden St, Philadelphia - Center City, PA"
2018-10-30,2.95,Speedway,"615 S Broad St, Philadelphia, PA"
2018-10-30,2.99,Sunoco,"801 S Broad St, Philadelphia, PA"
2018-10-30,2.95,Sunoco,"2201 Walnut St, Philadelphia - Center City, PA"
2018-10-30,2.97,Sunoco,"1100 S 10th St, Philadelphia, PA"
2018-10-30,3.09,Gulf,"2201 Spring Garden St, Philadelphia - Center City, PA"
2018-10-30,2.89,Lukoil,"600 N Delaware Ave, Philadelphia - Center City, PA"
2018-10-30,2.95,Lukoil,"1243 S Broad St, Philadelphia, PA"
2018-10-30,3.04,Liberty,"959 N 8th St, Philadelphia, PA"
2018-10-30,3.89,Amera,"601 W Girard Ave, Philadelphia, PA"
2018-10-30,3.07,Sunoco,"2300 Fairmount Ave, Philadelphia, PA"
2018-10-30,3.01,Sunoco,"1300 N Broad St, Philadelphia, PA"
2018-10-30,3.19,Conoco,"1840 Ridge Ave, Philadelphia, PA"
2018-10-30,2.99,Liberty,"1600 S Columbus Blvd, Philadelphia, PA"
2018-10-30,2.95,Lukoil,"2101 S 11th St, Philadelphia, PA"
2018-10-30,2.99,Sunoco,"801 S Broad St, Philadelphia, PA"
2018-10-30,2.95,Speedway,"615 S Broad St, Philadelphia, PA"
2018-10-30,2.99,Liberty,"1600 S Columbus Blvd, Philadelphia, PA"
2018-10-30,2.95,Lukoil,"1243 S Broad St, Philadelphia, PA"
2018-10-30,2.95,Lukoil,"2101 S 11th St, Philadelphia, PA"
2018-10-30,3.15,Sunoco,"2101 S 17th St, Philadelphia, PA"
2018-10-30,3.52,Shell,"1135 Vine St, Philadelphia - Center City, PA"
2018-10-30,2.95,Sunoco,"2201 Walnut St, Philadelphia - Center City, PA"
2018-10-30,3.13,BP,"401 W Oregon Ave, Philadelphia, PA"
2018-10-30,3.09,Sunoco,"59 E Oregon Ave, Philadelphia, PA"
2018-10-30,3.09,Liberty,"80 E Oregon Ave, Philadelphia, PA"
2018-10-30,3.09,Gulf,"1101 Spring Garden St, Philadelphia - Center City, PA"
2018-10-30,2.95,Conoco,"2101 W Passyunk Ave, Philadelphia, PA"
2018-10-30,2.95,Conoco,"2700 S 15th St, Philadelphia, PA"
2018-10-30,2.89,Lukoil,"600 N Delaware Ave, Philadelphia - Center City, PA"
2018-10-30,2.93,Sunoco,"1825-33 W Oregon Ave, Philadelphia, PA"
2018-10-30,3.89,CITGO,"3000 S Broad St, Philadelphia, PA"
2018-10-30,2.95,Sunoco,"2201 Walnut St, Philadelphia - Center City, PA"
2018-10-30,2.99,Sunoco,"801 S Broad St, Philadelphia, PA"
2018-10-30,2.95,Speedway,"615 S Broad St, Philadelphia, PA"
2018-10-30,3.09,Gulf,"1101 Spring Garden St, Philadelphia - Center City, PA"
2018-10-30,2.97,Sunoco,"1100 S 10th St, Philadelphia, PA"
2018-10-30,3.09,Gulf,"2201 Spring Garden St, Philadelphia - Center City, PA"
2018-10-30,2.95,Lukoil,"1243 S Broad St, Philadelphia, PA"
2018-10-30,3.07,Sunoco,"2300 Fairmount Ave, Philadelphia, PA"
2018-10-30,3.19,Conoco,"1840 Ridge Ave, Philadelphia, PA"
2018-10-30,3.04,Liberty,"959 N 8th St, Philadelphia, PA"
2018-10-30,3.01,Sunoco,"1300 N Broad St, Philadelphia, PA"
2018-10-30,2.89,Lukoil,"600 N Delaware Ave, Philadelphia - Center City, PA"
2018-10-30,3.89,Amera,"601 W Girard Ave, Philadelphia, PA"
2018-10-30,2.91,Conoco,"3349 Grays Ferry Ave, Philadelphia, PA"
2018-10-30,3.15,Sunoco,"2101 S 17th St, Philadelphia, PA"
2018-10-30,2.99,BP,"5657 Walnut St, Philadelphia, PA"
2018-10-30,2.99,Amera,"4708 W Girard Ave, Philadelphia, PA"
2018-10-30,2.99,Sunoco,"4600 Chestnut St, Philadelphia, PA"
2018-10-30,2.99,Sunoco,"4601 Walnut St, Philadelphia, PA"
2018-10-30,3.34,Conoco,"4400 Market St, Philadelphia, PA"
2018-10-30,3.09,CITGO,"4626 Lancaster Ave, Philadelphia, PA"
2018-10-30,2.87,Gas & Mini Mart,"901 S 46th St, Philadelphia, PA"
2018-10-30,3.05,Sunoco,"5200 Lancaster Ave, Philadelphia, PA"
2018-10-30,2.95,52nd Street Mobile Gas,"1501 N 52nd St, Philadelphia, PA"
2018-10-30,2.99,BP,"6243 Chestnut St, Philadelphia, PA"
2018-10-30,3.11,Exxon,"234 N 63rd St, Philadelphia, PA"
2018-10-30,2.95,Lukoil,"5748 Baltimore Ave, Philadelphia, PA"
2018-10-30,2.99,BP,"6601 Market St, Upper Darby, PA"
2018-10-30,2.91,Conoco,"3349 Grays Ferry Ave, Philadelphia, PA"
2018-10-30,2.94,Conoco,"5364 Lindbergh Blvd, Philadelphia, PA"
2018-10-30,2.91,Wawa,"6460 Bustleton Ave, Philadelphia, PA"
2018-10-30,2.99,Sunoco,"5460 E Roosevelt Blvd, Philadelphia, PA"
2018-10-30,2.88,Speedway,"6215 E Roosevelt Blvd, Philadelphia, PA"
2018-10-30,2.87,Speedway,"6401 Harbison Ave, Philadelphia, PA"
2018-10-30,2.99,BP,"5801 Oxford Ave, Philadelphia, PA"
2018-10-30,2.87,Express Fuel,"5201 Oxford Ave, Philadelphia, PA"
2018-10-30,2.9,Castor Food Stop,"7001 Castor Ave, Philadelphia, PA"
2018-10-30,2.87,Wawa,"7001 E Roosevelt Blvd, Philadelphia, PA"
2018-10-30,2.88,Speedway,"6399 Oxford Ave, Philadelphia, PA"
2018-10-30,2.89,Philly Gas,"7300 E Roosevelt Blvd, Philadelphia, PA"
2018-10-30,2.88,Sunoco,"7261 E Roosevelt Blvd, Philadelphia, PA"
2018-10-30,2.88,7-Eleven,"3301 Tyson Ave, Philadelphia, PA"
2018-10-30,2.89,Speedway,"7000 Frankford Ave, Philadelphia, PA"
2018-10-30,2.88,CITGO,"6962 Frankford Ave, Philadelphia, PA"
2018-10-30,3.05,Kwik Fill,"1588 E 38th St, Erie, PA"
2018-10-30,3.09,CITGO,"2525 State St, Erie, PA"
2018-10-30,3.05,Kwik Fill,"3620 Peach St, Erie, PA"
2018-10-30,3.05,CITGO,"3826 Peach St, Erie, PA"
2018-10-30,3.05,CITGO,"347 E 12th St, Erie, PA"
2018-10-30,2.99,CITGO,"7650 Old Perry Hwy, Erie, PA"
2018-10-30,3.05,CITGO,"803 Brown Ave, Erie, PA"
2018-10-30,2.99,Kwik Fill,"7725 Perry Hwy, Erie, PA"
2018-10-30,3.05,CITGO,"2266 E 38th St, Erie, PA"
2018-10-30,3.05,Kwik Fill,"3745 McCelland Ave, Erie, PA"
2018-10-30,3.05,CITGO,"5838 Wattsburg Rd, Erie, PA"
2018-10-30,2.95,Sunoco,"2201 Walnut St, Philadelphia - Center City, PA"
2018-10-30,2.95,Speedway,"615 S Broad St, Philadelphia, PA"
2018-10-30,2.95,Lukoil,"1243 S Broad St, Philadelphia, PA"
2018-10-30,2.97,Sunoco,"1100 S 10th St, Philadelphia, PA"
2018-10-30,2.91,Conoco,"3349 Grays Ferry Ave, Philadelphia, PA"
2018-10-30,2.89,Speedway,"3300-48 Grays Ferry Ave, Philadelphia, PA"
2018-10-30,3.15,Sunoco,"2101 S 17th St, Philadelphia, PA"
2018-10-30,2.95,Conoco,"2101 W Passyunk Ave, Philadelphia, PA"
2018-10-30,2.95,Lukoil,"2101 S 11th St, Philadelphia, PA"
2018-10-30,2.99,Sunoco,"2751 W Passyunk Ave, Philadelphia, PA"
2018-10-30,2.93,Sunoco,"1825-33 W Oregon Ave, Philadelphia, PA"
