date,price,service,address
2018-10-30,2.49,Pilot,"1826 Western Ave, Knoxville, TN"
2018-10-30,2.61,Shell,"2001 Cumberland Ave, Knoxville, TN"
2018-10-30,2.52,Quick Fuel,"424 Blount Ave, Knoxville, TN"
2018-10-30,2.49,Gas 'N Go,"1950 Western Ave, Knoxville, TN"
2018-10-30,2.52,Speed Mart,"2017 Chapman Hwy, Knoxville, TN"
2018-10-30,2.29,Quik Stop,"815 W Baxter Ave , Knoxville, TN"
2018-10-30,2.59,Shell,"3120 Chapman Hwy, Knoxville, TN"
2018-10-30,2.55,BJ's Food Mart,"2711 Sutherland Ave, Knoxville, TN"
2018-10-30,2.59,Weigel's,"3925 Chapman Hwy, Knoxville, TN"
2018-10-30,2.55,Delta Express,"4323 Chapman Hwy, Knoxville, TN"
2018-10-30,2.56,Kroger,"4409 Chapman Hwy, Knoxville, TN"
2018-10-30,2.55,Pilot,"4603 Chapman Hwy, Knoxville, TN"
2018-10-30,2.89,Mapco,"1507 21st Ave S, Nashville, TN"
2018-10-30,2.89,Exxon,"2001 Belmont Blvd, Nashville, TN"
2018-10-30,2.85,Shell,"1820 21st Ave S, Nashville, TN"
2018-10-30,2.99,Heritage Fuel,"1801 12th Ave S, Nashville, TN"
2018-10-30,2.99,Kwik Sak,"2804 West End Ave, Nashville, TN"
2018-10-30,2.89,Shell,"2017 8th Ave S, Nashville, TN"
2018-10-30,2.89,BP,"1909 8th Ave S , Nashville, TN"
2018-10-30,2.89,Exxon,"2001 8th Ave S , Nashville, TN"
2018-10-30,2.95,Exxon,"3400 West End Ave, Nashville, TN"
2018-10-30,2.81,Marathon,"3200 Belmont Blvd, Nashville, TN"
2018-10-30,2.95,Shell,"1700 West End Ave, Nashville, TN"
2018-10-30,2.95,Shell,"2112 Charlotte Ave, Nashville, TN"
2018-10-30,2.89,Shell,"2609 Franklin Pk, Nashville, TN"
2018-10-30,2.97,Exxon,"1111 Broadway Ave, Nashville, TN"
2018-10-30,2.89,Mapco,"2616 Franklin Pike, Nashville, TN"
2018-10-30,2.95,Exxon,"1404 Charlotte Ave, Nashville, TN"
2018-10-30,2.79,Swett's Market,"702 28th  North, Nashville, TN"
2018-10-30,2.65,Phillips 66,"240 N First St, East Nashville, TN"
2018-10-30,2.69,CITGO,"500 Main St, East Nashville, TN"
2018-10-30,2.51,Mapco,"712 Main St, East Nashville, TN"
2018-10-30,2.85,BP,"801 Rosa L Parks Blvd, Nashville, TN"
2018-10-30,2.97,Exxon,"1111 Broadway Ave, Nashville, TN"
2018-10-30,2.62,CITGO,"801 Dickerson Pk, East Nashville, TN"
2018-10-30,2.53,Z Mart,"803 Dickerson Pike, East Nashville, TN"
2018-10-30,2.95,Exxon,"1404 Charlotte Ave, Nashville, TN"
2018-10-30,2.59,Marathon,"1101 Woodland , East Nashville, TN"
2018-10-30,2.95,Shell,"1700 West End Ave, Nashville, TN"
2018-10-30,2.69,Express,"167 Lafayette St, Nashville, TN"
