date,price,service,address
2018-10-30,2.59,Exxon,"1020 S 5th St, Waco, TX"
2018-10-30,2.38,Exxon,"1116 W Waco Dr, Waco, TX"
2018-10-30,2.43,Chevron,"1624 W Waco Dr, Waco, TX"
2018-10-30,2.45,Stripes,"2500 Franklin Ave, Waco, TX"
2018-10-30,2.66,Rudy's,"2510 Circle Rd, Waco, TX"
2018-10-30,2.45,Alon,"2429 W Waco Dr, Waco, TX"
2018-10-30,2.39,H-E-B,"1821 S Valley Mills Dr, Waco, TX"
2018-10-30,2.37,RaceWay,"1708 S Valley Mills Dr, Waco, TX"
2018-10-30,2.79,Shell,"6100 Bellaire Blvd, Houston, TX"
2018-10-30,2.89,Exxon,"6475 Hillcroft St   , Houston, TX"
2018-10-30,2.41,Exxon,"6512 S Rice Blvd, Bellaire, TX"
2018-10-30,2.65,Chevron,"5020 Bellaire Blvd, Bellaire, TX"
2018-10-30,2.49,Bellaire Food Mart,"5825 Bellaire Blvd, Houston, TX"
2018-10-30,2.69,Phillips 66,"5757 Bellaire Blvd, Houston, TX"
2018-10-30,2.89,Texaco,"6700 Hillcroft Ave, Houston, TX"
2018-10-30,2.79,Exxon,"5601 SW Fwy, Houston, TX"
2018-10-30,2.79,Shell,"5602 SW Fwy, Houston, TX"
2018-10-30,2.89,Shell,"6601 SW Fwy Access Rd, Houston, TX"
2018-10-30,2.65,Shell,"6155 Southwest Fwy, Houston, TX"
2018-10-30,2.49,Shell,"5910 West Loop South, Bellaire, TX"
2018-10-30,2.39,Sam's Club,"5310 S Rice Ave, Houston, TX"
2018-10-30,2.89,Chevron,"6590 Southwest Fwy, Houston, TX"
2018-10-30,2.51,7-Eleven,"1814 Guadalupe St, Austin, TX"
2018-10-30,2.49,Valero,"3515 N Lamar Blvd, Austin, TX"
2018-10-30,2.54,Chevron,"2819 Guadalupe St, Austin, TX"
2018-10-30,2.67,7-Eleven,"408 W 15th St, Austin, TX"
2018-10-30,2.49,Valero,"3909 Guadalupe St, Austin, TX"
2018-10-30,2.69,Shell,"4001 Medical Pkwy, Austin, TX"
2018-10-30,2.64,Chevron,"3735 N IH-35, Austin, TX"
2018-10-30,2.65,Pronto Food,"4301 Duval St, Austin, TX"
2018-10-30,2.39,Gulf,"3807 N IH-35, Austin, TX"
2018-10-30,2.59,Shell,"4429 Duval St, Austin, TX"
2018-10-30,2.55,Shell,"1901 E Martin Luther King Jr Blvd, Austin, TX"
2018-10-30,2.7,Exxon,"1309 W 45th St, Austin, TX"
2018-10-30,2.72,Exxon,"4511 Airport Blvd, Austin, TX"
2018-10-30,2.69,Shell,"2801 N Fitzhugh Ave, Dallas, TX"
2018-10-30,2.63,Exxon,"2503 Lemmon Ave, Dallas, TX"
2018-10-30,2.61,7-Eleven,"5000 Ross Ave, Dallas, TX"
2018-10-30,2.63,Chevron,"4151 N Central Expy, Dallas, TX"
2018-10-30,2.59,7-Eleven,"2120 Greenville Ave, Dallas, TX"
2018-10-30,2.61,7-Eleven,"4301 Ross Ave, Dallas, TX"
2018-10-30,2.59,Red Mart,"5329 Ross Ave, Dallas, TX"
2018-10-30,2.59,Prism,"Greenville Ave, Dallas, TX"
2018-10-30,2.62,Chevron,"4423 Live Oak St, Dallas, TX"
2018-10-30,2.69,7-Eleven,"4201 Travis St, Dallas, TX"
2018-10-30,2.99,Shell,"4611 N Central Expy, Dallas, TX"
2018-10-30,2.63,Valero,"820 N Fitzhugh, Dallas, TX"
2018-10-30,2.63,7-Eleven,"4104 Gaston Ave, Dallas, TX"
2018-10-30,2.59,Shamrock,"4219 Gaston Ave, Dallas, TX"
2018-10-30,2.99,Shell,"3522 Cole Ave, Dallas, TX"
2018-10-30,2.49,Exxon,"1701 Skillman St, Dallas, TX"
2018-10-30,2.75,Shell,"3128 McKinney Ave  Suite A, Dallas, TX"
2018-10-30,2.74,Texaco,"4826 Cole Ave, Dallas, TX"
2018-10-30,2.63,Alon,"112 N Collett Ave, Dallas, TX"
2018-10-30,2.69,Chevron,"4002 Southwest Fwy, Houston, TX"
2018-10-30,2.96,Exxon,"3802 Westheimer Rd, Houston, TX"
2018-10-30,2.69,Shell,"3939 SW Fwy, Houston, TX"
2018-10-30,2.99,Shell,"3141 SW Fwy, Houston, TX"
2018-10-30,2.39,Costco,"3836 Richmond Ave, Houston, TX"
2018-10-30,2.69,Richmond Fuel,"2602 Richmond Ave, Houston, TX"
2018-10-30,2.69,Shell,"2525 SW Fwy, Houston, TX"
2018-10-30,2.69,Shell,"3936 Kirby Dr, Houston, TX"
2018-10-30,2.65,Exxon,"2539 Bissonnet St, Houston, TX"
2018-10-30,2.59,Valero,"5415 Kirby Dr , Houston, TX"
2018-10-30,2.69,Shell,"2602 W Loop S , Houston, TX"
2018-10-30,2.51,Valero,"3519 S Shepherd Dr, Houston, TX"
2018-10-30,2.49,Shell,"5910 West Loop South, Bellaire, TX"
2018-10-30,2.54,CITGO,"2103 Westheimer Rd, Houston, TX"
2018-10-30,2.53,Exxon,"2525 S Shepherd Dr, Houston, TX"
2018-10-30,2.55,Shell,"7101 SW Fwy, Houston, TX"
2018-10-30,2.69,Conoco,"5725 Fondren Rd, Houston, TX"
2018-10-30,2.69,Conoco,"7205 Bellerive Dr, Houston, TX"
2018-10-30,2.59,Chevron,"6601 Fondren Rd, Houston, TX"
2018-10-30,2.69,Chevron,"3941 Fondren Rd, Houston, TX"
2018-10-30,2.45,Corner Store,"7702 Bellaire Blvd, Houston, TX"
2018-10-30,2.55,Prime Petrol,"5715 Fondren Rd , Houston, TX"
2018-10-30,2.55,Exxon,"5726 Fondren Rd , Houston, TX"
2018-10-30,2.47,Speedy Food Market,"9401 Harwin Dr, Houston, TX"
2018-10-30,2.42,Shell,"9802 Westpark Dr, Houston, TX"
2018-10-30,2.47,Corner Store,"6700 Larkwood Dr, Houston, TX"
2018-10-30,2.54,Shell,"7402 Fondren Rd, Houston, TX"
2018-10-30,2.89,Shell,"6601 SW Fwy Access Rd, Houston, TX"
2018-10-30,2.89,Chevron,"6590 Southwest Fwy, Houston, TX"
2018-10-30,2.79,Shell,"3439 Oaklawn Ave, Dallas, TX"
2018-10-30,2.59,Exxon,"4239 Lemmon Ave, Dallas, TX"
2018-10-30,2.59,7-Eleven,"2529 Oaklawn Ave, Dallas, TX"
2018-10-30,2.59,Shell,"1959 Stemmons Fwy, Dallas, TX"
2018-10-30,2.67,Shell,"4340 Harry Hines Blvd, Dallas, TX"
2018-10-30,2.52,Valero,"4421 Maple Ave, Dallas, TX"
2018-10-30,2.79,Valero,"4040 Cedar Springs Rd, Dallas, TX"
