date,price,service,address
2018-10-30,2.79,Gasamat,"620 E Lincolnway, Cheyenne, WY"
2018-10-30,2.95,The Corner Stop,"901 W Pershing Blvd, Cheyenne, WY"
2018-10-30,2.86,Exxon,"3030 E Lincolnway, Cheyenne, WY"
2018-10-30,2.81,Sinclair,"115 N Greeley Hwy, Cheyenne, WY"
2018-10-30,2.81,Exxon,"100 N Greeley Hwy, Cheyenne, WY"
2018-10-30,2.79,Exxon,"2029 Dell Range Blvd, Cheyenne, WY"
2018-10-30,2.73,Sam's Club,"1948 Dell Range Blvd, Cheyenne, WY"
2018-10-30,2.82,Loaf 'N Jug,"2414 Dell Range Blvd, Cheyenne, WY"
2018-10-30,2.79,AAFES,"200 S Fort Steele Way, F E Warren AFB, WY"
2018-10-30,2.86,Kum & Go,"3354 E Lincolnway, Cheyenne, WY"
2018-10-30,2.82,USA Gasoline,"3363 E Pershing Ave, Cheyenne, WY"
2018-10-30,2.81,Safeway,"700 S Greeley Hwy, Cheyenne, WY"
2018-10-30,2.81,Loaf 'N Jug,"5539 Yellowstone Rd, Cheyenne, WY"
2018-10-30,2.81,Exxon,"5405 Walker Rd, Cheyenne, WY"
2018-10-30,2.95,The Corner Stop,"901 W Pershing Blvd, Cheyenne, WY"
2018-10-30,2.81,Exxon,"5405 Walker Rd, Cheyenne, WY"
2018-10-30,2.81,Loaf 'N Jug,"5539 Yellowstone Rd, Cheyenne, WY"
2018-10-30,3.24,Sinclair,"2800 W Lincolnway, Cheyenne, WY"
2018-10-30,2.81,Loaf 'N Jug,"534 Vandehei Ave, Cheyenne, WY"
2018-10-30,2.8,Maverik,"140 Gardenia Drive, Cheyenne, WY"
2018-10-30,2.79,Kum & Go,"215 E Lincolnway, Cheyenne, WY"
2018-10-30,2.79,Gasamat,"620 E Lincolnway, Cheyenne, WY"
2018-10-30,2.79,Sinclair,"3306 W College Dr, Cheyenne, WY"
2018-10-30,2.79,Flying J,"2250 Etchepare Dr, Cheyenne, WY"
2018-10-30,2.79,Love's,"3305 W College Dr, Cheyenne, WY"
2018-10-30,2.79,Exxon,"2029 Dell Range Blvd, Cheyenne, WY"
2018-10-30,2.81,Exxon,"100 N Greeley Hwy, Cheyenne, WY"
2018-10-30,2.81,Safeway,"700 S Greeley Hwy, Cheyenne, WY"
2018-10-30,2.81,Exxon,"100 N Greeley Hwy, Cheyenne, WY"
2018-10-30,2.81,Sinclair,"115 N Greeley Hwy, Cheyenne, WY"
2018-10-30,2.81,Loaf 'N Jug,"1610 S Greeley Hwy, Cheyenne, WY"
2018-10-30,2.79,Kum & Go,"215 E Lincolnway, Cheyenne, WY"
2018-10-30,2.79,Gasamat,"620 E Lincolnway, Cheyenne, WY"
2018-10-30,2.79,Sinclair,"3306 W College Dr, Cheyenne, WY"
2018-10-30,2.79,Love's,"3305 W College Dr, Cheyenne, WY"
