date,price,service,address
2018-10-30,2.99,Global,"765 E Main St , Stamford, CT"
2018-10-30,3.09,Sunoco,"136 Myrtle Ave, Stamford, CT"
2018-10-30,3.03,BP,"59 W Broad St, Stamford, CT"
2018-10-30,3.05,Shell,"179 Shippan Ave , Stamford, CT"
2018-10-30,3.05,Mini Mart,"314 Cove Rd, Stamford, CT"
2018-10-30,3.35,Shell,"2666 Summer St, Stamford, CT"
2018-10-30,3.09,Shell,"243 West Ave, Stamford, CT"
2018-10-30,2.88,Gulf ,"250 Hope St, Stamford, CT"
2018-10-30,3.05,Gulf,"1125 E Main St, Stamford, CT"
2018-10-30,3.19,CITGO,"16 Long Ridge Rd, Stamford, CT"
2018-10-30,2.87,CITGO,"493 Glenbrook Rd , Stamford, CT"
2018-10-30,2.79,BP,"547 North Ave, Bridgeport, CT"
2018-10-30,2.89,Shell,"915 North Ave, Bridgeport, CT"
2018-10-30,2.85,Speedway,"169 North Ave, Bridgeport, CT"
2018-10-30,2.89,Exxon,"565 Lindley St, Bridgeport, CT"
2018-10-30,2.79,Barnum Fuels,"1789 Barnum Ave, Bridgeport, CT"
2018-10-30,2.99,Shell,"2613 Main St, Bridgeport, CT"
2018-10-30,2.89,Gulf,"927 Park Ave, Bridgeport, CT"
2018-10-30,2.95,Cumberland Farms,"2525 E Main St, Bridgeport, CT"
2018-10-30,2.84,Massey,"40 Hollister Ave, Bridgeport, CT"
2018-10-30,2.87,CITGO,"900 State St, Bridgeport, CT"
2018-10-30,3.09,Mobil,"284 Whalley Ave, New Haven, CT"
2018-10-30,3.03,Mobil,"241 Kimberly Ave, New Haven, CT"
2018-10-30,2.87,Forbes Premium,"401 Forbes Ave, East Haven, CT"
2018-10-30,2.79,Exxon,"775 Whalley Ave, New Haven, CT"
2018-10-30,2.73,Irving,"801 Whalley Ave, New Haven, CT"
2018-10-30,2.92,Shell,"618 W Main St , Waterbury, CT"
2018-10-30,2.89,Cumberland Farms,"1359 THOMASTON AVE, Waterbury, CT"
2018-10-30,2.79,Gulf,"21 Homer St, Waterbury, CT"
2018-10-30,3.06,Cumberland Farms,"975 Kings Hwy E, Fairfield, CT"
2018-10-30,2.87,ATLAS Gas,"1726 Fairfield Ave, Bridgeport, CT"
2018-10-30,2.87,CITGO,"900 State St, Bridgeport, CT"
2018-10-30,2.95,CITGO,"2505 North Ave, Bridgeport, CT"
2018-10-30,2.92,Stop & Shop,"705 Villa Ave, Fairfield, CT"
2018-10-30,2.91,Star Fuels,"350 Jennings Rd, Fairfield, CT"
2018-10-30,2.89,Gulf,"927 Park Ave, Bridgeport, CT"
2018-10-30,2.99,Sunoco,"500 Grasmere Ave, Fairfield, CT"
2018-10-30,2.89,Shell,"915 North Ave, Bridgeport, CT"
2018-10-30,3.02,Cumberland Farms,"1101 Post Rd, Fairfield, CT"
2018-10-30,3.03,Mobil,"241 Kimberly Ave, New Haven, CT"
2018-10-30,3.09,Mobil,"284 Whalley Ave, New Haven, CT"
2018-10-30,2.87,Xpress Fuel,"345 Elm St, West Haven, CT"
2018-10-30,2.89,Gulf,"750 Orange Ave, West Haven, CT"
2018-10-30,2.87,Forbes Premium,"401 Forbes Ave, East Haven, CT"
2018-10-30,2.89,Gulf,"1267 Fairfield Ave, Bridgeport, CT"
2018-10-30,2.89,Gulf,"927 Park Ave, Bridgeport, CT"
2018-10-30,2.89,Shell,"915 North Ave, Bridgeport, CT"
2018-10-30,2.95,CITGO,"2505 North Ave, Bridgeport, CT"
2018-10-30,2.87,ATLAS Gas,"1726 Fairfield Ave, Bridgeport, CT"
2018-10-30,2.79,BP,"547 North Ave, Bridgeport, CT"
2018-10-30,2.99,Shell,"2613 Main St, Bridgeport, CT"
2018-10-30,2.89,Exxon,"565 Lindley St, Bridgeport, CT"
2018-10-30,2.92,Stop & Shop,"705 Villa Ave, Fairfield, CT"
2018-10-30,2.85,Speedway,"169 North Ave, Bridgeport, CT"
2018-10-30,2.79,Ravi,"145 New Britain Ave, Hartford, CT"
